                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      9,                0.66963,                 1.0478,                 1.2033,                0.94782,                0.92849,                  0.965,                0.83235,                0.56207,                0.95132,                 1.1837,             0.00016832,             0.00016832,             0.00016832
                     10,                0.64911,                0.99427,                 1.1975,                0.96862,                0.90622,                 0.9566,                0.83513,                0.55174,                0.94207,                 1.1768,             0.00016436,             0.00016436,             0.00016436
